name,link
Elvy Sukaesih,https://id.wikipedia.org/wiki/Elvy_Sukaesih
Emilia Contessa,https://id.wikipedia.org/wiki/Emilia_Contessa
Emily,https://id.wikipedia.org/wiki/Emily_(penyanyi)
Emmy Labib,https://id.wikipedia.org/wiki/Emmy_Labib
Endang S. Taurina,https://id.wikipedia.org/wiki/Endang_S._Taurina
Enno Lerian,https://id.wikipedia.org/wiki/Enno_Lerian
Enny Haryono,https://id.wikipedia.org/wiki/Enny_Haryono
Eren,https://id.wikipedia.org/wiki/Eren
Erie Suzan,https://id.wikipedia.org/wiki/Erie_Suzan
Ermy Kullit,https://id.wikipedia.org/wiki/Ermy_Kullit
Ernie Djohan,https://id.wikipedia.org/wiki/Ernie_Djohan
Ervinna,https://id.wikipedia.org/wiki/Ervinna
Etrie Jayanthie,https://id.wikipedia.org/wiki/Etrie_Jayanthie
Euis Darliah,https://id.wikipedia.org/wiki/Euis_Darliah
Eva Celia,https://id.wikipedia.org/wiki/Eva_Celia
Evie Tamala,https://id.wikipedia.org/wiki/Evie_Tamala
Fatin,https://id.wikipedia.org/wiki/Fatin_Shidqia
Feby Febiola,https://id.wikipedia.org/wiki/Feby_Febiola
Fenny Bauty,https://id.wikipedia.org/wiki/Fanny_Bauty
Fenny Dior,https://id.wikipedia.org/wiki/Fenny_Dior
Fia,https://id.wikipedia.org/wiki/Fia
Fitri Carlina,https://id.wikipedia.org/wiki/Fitri_Carlina
Frau,https://id.wikipedia.org/wiki/Frau
Fryda,https://id.wikipedia.org/wiki/Fryda
Gita Gutawa,https://id.wikipedia.org/wiki/Gita_Gutawa
Gita KDI,https://id.wikipedia.org/wiki/Gita_KDI
Grace Simon,https://id.wikipedia.org/wiki/Grace_Simon
Gretha,https://id.wikipedia.org/wiki/Gretha_Martini
Gya,https://id.wikipedia.org/wiki/Gya_Anandini
Hanin Dhiya,https://id.wikipedia.org/wiki/Hanin_Dhiya
Heidy Diana,https://id.wikipedia.org/wiki/Heidy_Diana
Helen Sparingga,https://id.wikipedia.org/wiki/Helen_Sparingga
Helena,https://id.wikipedia.org/wiki/Helena_(penyanyi)
Henny Purwonegoro,https://id.wikipedia.org/wiki/Henny_Purwonegoro
Herlin Widhaswara,https://id.wikipedia.org/wiki/Herlin_Widhaswara
Herlina Effendy,https://id.wikipedia.org/wiki/Herlina_Effendy
Hetty Koes Endang,https://id.wikipedia.org/wiki/Hetty_Koes_Endang
Ida Laila,https://id.wikipedia.org/wiki/Ida_Laila
Ida Royani,https://id.wikipedia.org/wiki/Ida_Royani
Ida Widawati,https://id.wikipedia.org/wiki/Ida_Widawati
Idjah Hadijah,https://id.wikipedia.org/wiki/Idjah_Hadijah
Iga Mawarni,https://id.wikipedia.org/wiki/Iga_Mawarni
Iin Parlina,https://id.wikipedia.org/wiki/Iin_Parlina
Iis Dahlia,https://id.wikipedia.org/wiki/Iis_Dahlia
Iis Sugianto,https://id.wikipedia.org/wiki/Iis_Sugianto
Iis Sugiarti,https://id.wikipedia.org/wiki/Iis_Sugiarti
Ika Putri,https://id.wikipedia.org/wiki/Ika_Putri
Ika Ratih Poespa,https://id.wikipedia.org/wiki/Ika_Ratih_Poespa
Ikke Nurjanah,https://id.wikipedia.org/wiki/Ikke_Nurjanah
Ikko,https://id.wikipedia.org/wiki/Ikko
Imaniar,https://id.wikipedia.org/wiki/Imaniar
Indah Dewi Pertiwi,https://id.wikipedia.org/wiki/Indah_Dewi_Pertiwi
Ine Sinthya,https://id.wikipedia.org/wiki/Ine_Sinthya
Inka Christie,https://id.wikipedia.org/wiki/Inka_Christie
Inna Kamarie,https://id.wikipedia.org/wiki/Inna_Kamarie
Intan,https://id.wikipedia.org/wiki/Intan_Nuraini
Intan RJ,https://id.wikipedia.org/wiki/Intan_RJ
Inul Daratista,https://id.wikipedia.org/wiki/Inul_Daratista
Ira Maya Sopha,https://id.wikipedia.org/wiki/Ira_Maya_Sopha
Ira Swara,https://id.wikipedia.org/wiki/Ira_Swara
Irianti Erningpraja,https://id.wikipedia.org/wiki/Irianti_Erningpraja
Irma June,https://id.wikipedia.org/wiki/Irma_June
Ismi Azis,https://id.wikipedia.org/wiki/Ismi_Azis
Isyana Sarasvati,https://id.wikipedia.org/wiki/Isyana_Sarasvati
Ita Purnamasari,https://id.wikipedia.org/wiki/Ita_Purnamasari
Itje Trisnawati,https://id.wikipedia.org/wiki/Itje_Trisnawati
Iyeth Bustami,https://id.wikipedia.org/wiki/Iyeth_Bustami
Iyut Bing Slamet,https://id.wikipedia.org/wiki/Iyut_Bing_Slamet
Jane Sahilatua,https://id.wikipedia.org/wiki/Jane_Sahilatua
January Christy,https://id.wikipedia.org/wiki/January_Christy
Jayanthi Mandasari,https://id.wikipedia.org/wiki/Jayanthie_Mandasari
Jean Pattikawa,https://id.wikipedia.org/wiki/Jean_Pattikawa
Jean Retno Aryani,https://id.wikipedia.org/wiki/Jean_Retno_Aryani
Jemima,https://id.wikipedia.org/wiki/Jemima
Joan Tanamal,https://id.wikipedia.org/wiki/Yoan_Tanamal
Joy Tobing,https://id.wikipedia.org/wiki/Joy_Tobing
Juwita,https://id.wikipedia.org/wiki/Juwita_Thofany_Sanjaya
Kamaya,https://id.wikipedia.org/wiki/Kamaya
Karmila Warouw,https://id.wikipedia.org/wiki/Karmila_Warouw
Kemala Ayu,https://id.wikipedia.org/wiki/Kemala_Ayu
Kiki Maria,https://id.wikipedia.org/wiki/Kiki_Maria
Kirey,https://id.wikipedia.org/wiki/Kirey
Krisdayanti,https://id.wikipedia.org/wiki/Krisdayanti
Kristina,https://id.wikipedia.org/wiki/Kristina
Lady Avisha,https://id.wikipedia.org/wiki/Lady_Avisha
Lala Karmela,https://id.wikipedia.org/wiki/Lala_Karmela
